#grid point     	iterations      	chem_iter       	cond_iter       	converged       	elem_conserved  	p (bar)         	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (u)           	e-   	Al   	C    	Ca   	Fe   	H    	He   	K    	Mg   	N    	Na   	O    	P    	S    	Si   	Ti   	V    
64              	0               	5               	0               	ok              	ok              	1.3590000000e-03	1.8870000000e+02	9.6815007494e+16	5.2163205783e+16	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
65              	0               	5               	0               	ok              	ok              	1.1010000000e-03	1.9110000000e+02	7.7450060039e+16	4.1729516160e+16	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
66              	0               	6               	0               	ok              	ok              	8.9130000000e-04	1.9350000000e+02	6.1921014627e+16	3.3362582020e+16	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
67              	0               	6               	0               	ok              	ok              	7.2170000000e-04	1.9550000000e+02	4.9625519985e+16	2.6737860979e+16	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
68              	0               	6               	0               	ok              	ok              	5.8430000000e-04	1.9770000000e+02	3.9730528656e+16	2.1406513265e+16	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
69              	0               	6               	0               	ok              	ok              	4.7320000000e-04	2.0010000000e+02	3.1790164424e+16	1.7128304089e+16	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
70              	0               	6               	0               	ok              	ok              	3.8310000000e-04	2.0150000000e+02	2.5558315585e+16	1.3770630296e+16	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
71              	0               	6               	0               	ok              	ok              	3.1020000000e-04	2.0260000000e+02	2.0582469442e+16	1.1089681412e+16	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
72              	0               	6               	0               	ok              	ok              	2.5120000000e-04	2.0400000000e+02	1.6553300325e+16	8.9187950668e+15	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
73              	0               	6               	0               	ok              	ok              	2.0340000000e-04	2.0540000000e+02	1.3312071334e+16	7.1724449998e+15	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
74              	0               	6               	0               	ok              	ok              	1.6470000000e-04	2.0660000000e+02	1.0716634249e+16	5.7740428073e+15	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
75              	0               	6               	0               	ok              	ok              	1.3340000000e-04	2.0790000000e+02	8.6257420604e+15	4.6474856510e+15	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
76              	0               	6               	0               	ok              	ok              	1.0800000000e-04	2.0920000000e+02	6.9399637525e+15	3.7392008400e+15	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
77              	0               	6               	0               	ok              	ok              	8.7430000000e-05	2.1030000000e+02	5.5887712289e+15	3.0111883605e+15	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
78              	0               	6               	0               	ok              	ok              	7.0790000000e-05	2.1120000000e+02	4.5058126017e+15	2.4276983089e+15	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
79              	0               	6               	0               	ok              	ok              	5.7320000000e-05	2.1190000000e+02	3.6363891381e+15	1.9592594147e+15	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
80              	0               	6               	0               	ok              	ok              	4.6420000000e-05	2.1240000000e+02	2.9379591336e+15	1.5829505243e+15	2.3142567641e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
81              	0               	6               	0               	ok              	ok              	3.7580000000e-05	2.1250000000e+02	2.3773491447e+15	1.2808980329e+15	2.3142567641e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
82              	0               	6               	0               	ok              	ok              	3.0430000000e-05	2.1240000000e+02	1.9259391735e+15	1.0376816987e+15	2.3142567641e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
83              	0               	6               	0               	ok              	ok              	2.4640000000e-05	2.1200000000e+02	1.5624278421e+15	8.4182449771e+14	2.3142567641e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
84              	0               	6               	0               	ok              	ok              	1.9950000000e-05	2.1130000000e+02	1.2692247427e+15	6.8384884901e+14	2.3142567641e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
85              	0               	6               	0               	ok              	ok              	1.6160000000e-05	2.1060000000e+02	1.0315211010e+15	5.5577589525e+14	2.3142567640e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
86              	0               	6               	0               	ok              	ok              	1.3080000000e-05	2.0950000000e+02	8.3930313149e+14	4.5221028329e+14	2.3142567640e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
87              	0               	6               	0               	ok              	ok              	1.0590000000e-05	2.0840000000e+02	6.8311429298e+14	3.6805689906e+14	2.3142567640e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
88              	0               	6               	0               	ok              	ok              	8.5770000000e-06	2.0710000000e+02	5.5673745263e+14	2.9996599766e+14	2.3142567640e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
89              	0               	6               	0               	ok              	ok              	6.9450000000e-06	2.0570000000e+02	4.5387168004e+14	2.4454268466e+14	2.3142567639e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
90              	0               	6               	0               	ok              	ok              	5.6230000000e-06	2.0420000000e+02	3.7017533029e+14	1.9944771406e+14	2.3142567639e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
91              	0               	6               	0               	ok              	ok              	4.5530000000e-06	2.0250000000e+02	3.0225100219e+14	1.6285059141e+14	2.3142567639e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
92              	0               	6               	0               	ok              	ok              	3.6870000000e-06	2.0090000000e+02	2.4671089435e+14	1.3292599449e+14	2.3142567639e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
93              	0               	6               	0               	ok              	ok              	2.9850000000e-06	1.9930000000e+02	2.0134097324e+14	1.0848101852e+14	2.3142567639e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
94              	0               	6               	0               	ok              	ok              	2.4170000000e-06	1.9770000000e+02	1.6434825903e+14	8.8549619308e+13	2.3142567639e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
95              	0               	6               	0               	ok              	ok              	1.9570000000e-06	1.9620000000e+02	1.3408708498e+14	7.2245123853e+13	2.3142567639e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
96              	0               	6               	0               	ok              	ok              	1.5850000000e-06	1.9480000000e+02	1.0937937584e+14	5.8932793983e+13	2.3142567639e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
