lambda [um]    flux [erg s^-1 cm^-3]    
1.1941751e-01  1.4992350e+06            
1.1947721e-01  1.8183998e+06            
1.1953695e-01  2.7011602e+06            
1.1959672e-01  2.6293418e+06            
1.1965653e-01  3.1394150e+06            
1.1971635e-01  3.3715279e+06            
1.1977621e-01  3.3810253e+06            
1.1983610e-01  3.7203041e+06            
1.1989601e-01  4.2372127e+06            
1.1995596e-01  2.3430023e+06            
1.2001595e-01  2.2206923e+06            
1.2007596e-01  2.7210894e+06            
1.2013599e-01  3.6974257e+06            
1.2019605e-01  3.8873228e+06            
1.2025615e-01  4.5611768e+06            
1.2031628e-01  5.1065244e+06            
1.2037645e-01  4.5720018e+06            
1.2043663e-01  4.7617817e+06            
1.2049685e-01  4.1272802e+06            
1.2055709e-01  4.5908493e+06            
1.2061737e-01  4.1981583e+06            
1.2067769e-01  3.4097853e+06            
1.2073802e-01  3.7863291e+06            
1.2079839e-01  3.5490527e+06            
1.2085879e-01  3.2448350e+06            
1.2091922e-01  2.4199244e+06            
1.2097968e-01  2.0414978e+06            
1.2104017e-01  1.8946134e+06            
1.2110069e-01  1.5450702e+06            
1.2116123e-01  1.1725858e+06            
1.2122182e-01  9.9654054e+05            
1.2128244e-01  5.5196045e+05            
1.2134307e-01  4.7901131e+05            
1.2140375e-01  3.2165945e+05            
1.2146444e-01  2.3588503e+05            
1.2152517e-01  2.1084680e+05            
1.2158594e-01  2.1521182e+05            
1.2164673e-01  2.2623519e+05            
1.2170755e-01  3.0379520e+05            
1.2176840e-01  4.6192264e+05            
1.2182929e-01  6.6760808e+05            
1.2189021e-01  9.4959267e+05            
1.2195116e-01  1.1120421e+06            
1.2201212e-01  1.7698602e+06            
1.2207313e-01  2.4342503e+06            
1.2213417e-01  2.8837105e+06            
1.2219524e-01  3.5197075e+06            
1.2225634e-01  3.6536528e+06            
1.2231747e-01  4.7293434e+06            
1.2237862e-01  4.7491197e+06            
1.2243981e-01  5.1018575e+06            
1.2250103e-01  5.7445093e+06            
1.2256228e-01  5.9916399e+06            
1.2262357e-01  7.5636705e+06            
1.2268488e-01  7.2774982e+06            
1.2274621e-01  5.3714185e+06            
1.2280759e-01  8.0386010e+06            
1.2286899e-01  8.2790585e+06            
1.2293044e-01  6.9769566e+06            
1.2299190e-01  8.4096603e+06            
1.2305339e-01  1.0420527e+07            
1.2311491e-01  1.0254453e+07            
1.2317648e-01  1.1475348e+07            
1.2323807e-01  1.0906946e+07            
1.2329968e-01  1.1286009e+07            
1.2336133e-01  1.1571618e+07            
1.2342301e-01  1.1047110e+07            
1.2348472e-01  1.1723553e+07            
1.2354646e-01  1.0441764e+07            
1.2360823e-01  1.3015261e+07            
1.2367004e-01  1.2667317e+07            
1.2373187e-01  1.2957200e+07            
1.2379374e-01  1.2617434e+07            
1.2385564e-01  1.5484313e+07            
1.2391756e-01  1.5398613e+07            
1.2397952e-01  1.4563640e+07            
1.2404152e-01  1.4286632e+07            
1.2410354e-01  1.5619701e+07            
1.2416559e-01  1.4705117e+07            
1.2422768e-01  1.5425071e+07            
1.2428979e-01  1.6568776e+07            
1.2435192e-01  1.6231605e+07            
1.2441410e-01  1.7722043e+07            
1.2447631e-01  1.7490320e+07            
1.2453855e-01  1.8132495e+07            
1.2460083e-01  1.8520750e+07            
1.2466313e-01  1.8382462e+07            
1.2472545e-01  1.7836662e+07            
1.2478781e-01  1.9545322e+07            
1.2485021e-01  1.7564774e+07            
1.2491264e-01  1.7707849e+07            
1.2497510e-01  1.8012889e+07            
1.2503757e-01  2.1045868e+07            
1.2510010e-01  2.0892722e+07            
1.2516265e-01  2.1988680e+07            
1.2522523e-01  2.1903415e+07            
1.2528785e-01  2.4571824e+07            
1.2535048e-01  1.8123490e+07            
1.2541316e-01  2.2238993e+07            
1.2547587e-01  2.4649390e+07            
1.2553861e-01  2.2197826e+07            
1.2560138e-01  1.8254234e+07            
1.2566418e-01  1.7985615e+07            
1.2572700e-01  2.4554842e+07            
1.2578987e-01  1.9128718e+07            
1.2585276e-01  2.1362100e+07            
1.2591569e-01  2.4847747e+07            
1.2597865e-01  2.3768328e+07            
1.2604164e-01  1.2591830e+07            
1.2610466e-01  1.1417047e+07            
1.2616771e-01  1.7733139e+07            
1.2623080e-01  2.5480650e+07            
1.2629391e-01  2.1560975e+07            
1.2635706e-01  2.5224125e+07            
1.2642024e-01  2.5754187e+07            
1.2648345e-01  1.2872852e+07            
1.2654669e-01  2.1744410e+07            
1.2660996e-01  2.7371149e+07            
1.2667327e-01  1.9306865e+07            
1.2673661e-01  2.5061713e+07            
1.2679997e-01  3.2343651e+07            
1.2686337e-01  2.5726609e+07            
1.2692681e-01  1.9447686e+07            
1.2699027e-01  3.1628167e+07            
1.2705376e-01  2.5605305e+07            
1.2711730e-01  2.4852744e+07            
1.2718085e-01  2.8448814e+07            
1.2724443e-01  2.5798084e+07            
1.2730806e-01  3.1562465e+07            
1.2737171e-01  3.5043716e+07            
1.2743540e-01  3.0516727e+07            
1.2749913e-01  2.3147520e+07            
1.2756287e-01  3.0872978e+07            
1.2762665e-01  2.5608484e+07            
1.2769047e-01  2.1012402e+07            
1.2775430e-01  1.0097163e+07            
1.2781818e-01  2.8324210e+07            
