lambda [um]    flux [erg s^-1 cm^-3]    
8.1618861e-01  3.6241441e+14            
8.1659651e-01  3.5970777e+14            
8.1700481e-01  3.6154762e+14            
8.1741352e-01  3.6309334e+14            
8.1782198e-01  3.6322117e+14            
8.1823084e-01  3.5822445e+14            
8.1864011e-01  3.4109590e+14            
8.1904979e-01  3.5705364e+14            
8.1945921e-01  3.5917212e+14            
8.1986903e-01  3.3101393e+14            
8.2027860e-01  3.4961611e+14            
8.2068857e-01  3.5500103e+14            
8.2109896e-01  3.4977954e+14            
8.2150975e-01  3.3759380e+14            
8.2192029e-01  3.6196873e+14            
8.2233123e-01  3.3398760e+14            
8.2274258e-01  3.6588247e+14            
8.2315367e-01  3.5244655e+14            
8.2356584e-01  3.5060575e+14            
8.2397707e-01  3.5057003e+14            
8.2438940e-01  3.6145028e+14            
8.2480145e-01  3.6144364e+14            
8.2521392e-01  3.4781288e+14            
8.2562680e-01  3.6132833e+14            
8.2603941e-01  3.5554502e+14            
8.2645243e-01  3.5895447e+14            
8.2686586e-01  3.5649317e+14            
8.2727903e-01  3.5649157e+14            
8.2769261e-01  3.5240534e+14            
8.2810660e-01  3.5863355e+14            
8.2852032e-01  3.5779825e+14            
8.2893445e-01  3.5201455e+14            
8.2934900e-01  3.5740522e+14            
8.2976397e-01  3.4522279e+14            
8.3017865e-01  3.5059517e+14            
8.3059376e-01  3.4832918e+14            
8.3100928e-01  3.4043243e+14            
8.3142452e-01  3.4192190e+14            
8.3184018e-01  3.4904032e+14            
8.3225626e-01  3.4994439e+14            
8.3267275e-01  3.5049920e+14            
8.3308896e-01  3.2521284e+14            
8.3350559e-01  3.3537266e+14            
8.3392194e-01  3.4435316e+14            
8.3433871e-01  3.4311213e+14            
8.3475590e-01  3.3415163e+14            
8.3517350e-01  3.4435179e+14            
8.3559152e-01  3.4874192e+14            
8.3600926e-01  3.4912352e+14            
8.3642672e-01  3.4601774e+14            
8.3684529e-01  3.4015194e+14            
8.3726359e-01  3.4752986e+14            
8.3768230e-01  3.4936957e+14            
8.3810143e-01  3.4588512e+14            
8.3852028e-01  3.3577432e+14            
8.3893955e-01  3.1605264e+14            
8.3935853e-01  3.4796978e+14            
8.3977863e-01  3.4594102e+14            
8.4019845e-01  3.3872496e+14            
8.4061870e-01  3.4676869e+14            
8.4103865e-01  3.5050143e+14            
8.4145973e-01  3.4115194e+14            
8.4187982e-01  3.4130304e+14            
8.4230103e-01  3.4490248e+14            
8.4272196e-01  3.2746644e+14            
8.4314331e-01  3.5032872e+14            
8.4356507e-01  3.3523719e+14            
8.4398727e-01  3.3133258e+14            
8.4440917e-01  3.4528895e+14            
8.4483078e-01  3.3724813e+14            
8.4525352e-01  3.4426561e+14            
8.4567597e-01  3.4528194e+14            
8.4609885e-01  3.4245539e+14            
8.4652215e-01  3.4561892e+14            
8.4694515e-01  3.1898762e+14            
8.4736858e-01  3.3996216e+14            
8.4779243e-01  3.4558096e+14            
8.4821671e-01  3.3925013e+14            
8.4864069e-01  3.4127031e+14            
8.4906509e-01  3.4472087e+14            
8.4948920e-01  3.4016367e+14            
8.4991373e-01  2.6959108e+14            
8.5033869e-01  3.2216138e+14            
8.5076407e-01  3.3664826e+14            
8.5118988e-01  3.4369728e+14            
8.5161539e-01  3.1190856e+14            
8.5204132e-01  3.3472047e+14            
8.5246695e-01  3.4076047e+14            
8.5289301e-01  3.2457424e+14            
8.5331950e-01  3.3354399e+14            
8.5374641e-01  3.2129727e+14            
8.5417302e-01  2.6643427e+14            
8.5460006e-01  2.2530817e+14            
8.5502752e-01  3.1279177e+14            
8.5545541e-01  3.3235397e+14            
8.5588300e-01  3.2878241e+14            
8.5631101e-01  3.3343377e+14            
8.5673872e-01  3.3611865e+14            
8.5716759e-01  3.3630634e+14            
8.5759616e-01  3.3338250e+14            
8.5802442e-01  3.3922397e+14            
8.5845384e-01  3.2748935e+14            
8.5888295e-01  3.3491948e+14            
8.5931250e-01  3.3643895e+14            
8.5974173e-01  3.3025962e+14            
8.6017214e-01  3.3163613e+14            
8.6060223e-01  3.2777587e+14            
8.6103202e-01  3.3290054e+14            
8.6146297e-01  3.2152212e+14            
8.6189361e-01  3.3155517e+14            
8.6232469e-01  3.2909335e+14            
8.6275545e-01  3.3430859e+14            
8.6318664e-01  3.3416938e+14            
8.6361827e-01  3.3336400e+14            
8.6405032e-01  3.2641797e+14            
8.6448281e-01  3.3003267e+14            
8.6491498e-01  3.2257704e+14            
8.6534684e-01  3.2967816e+14            
8.6577988e-01  3.2200158e+14            
8.6621260e-01  2.6454595e+14            
8.6664575e-01  2.4357803e+14            
8.6707934e-01  3.1888189e+14            
8.6751261e-01  3.0736867e+14            
8.6794631e-01  3.2528444e+14            
8.6838044e-01  3.1495784e+14            
8.6881426e-01  3.2180167e+14            
8.6924926e-01  2.8790527e+14            
8.6968395e-01  3.2574687e+14            
8.7011831e-01  3.1788811e+14            
8.7055386e-01  3.2693718e+14            
8.7098910e-01  3.2949761e+14            
8.7142400e-01  3.0551083e+14            
8.7186010e-01  3.2292016e+14            
8.7229588e-01  3.2890475e+14            
8.7273210e-01  3.2997730e+14            
8.7316875e-01  3.2188177e+14            
8.7360507e-01  3.2505334e+14            
8.7404183e-01  3.1133467e+14            
8.7447903e-01  3.1947383e+14            
8.7491590e-01  3.2481041e+14            
8.7535321e-01  3.1473573e+14            
8.7579095e-01  3.1576897e+14            
8.7622913e-01  3.2780959e+14            
8.7666698e-01  3.1719870e+14            
8.7710527e-01  3.2345037e+14            
8.7754400e-01  3.0890947e+14            
8.7798317e-01  3.2329242e+14            
8.7842200e-01  3.2838984e+14            
8.7886128e-01  3.2138298e+14            
8.7930022e-01  3.1744390e+14            
8.7974037e-01  3.1299871e+14            
8.8018019e-01  3.2592131e+14            
8.8062045e-01  3.1200254e+14            
8.8106037e-01  2.7416430e+14            
8.8150074e-01  3.2360114e+14            
8.8194154e-01  3.2396925e+14            
8.8238279e-01  3.1737554e+14            
8.8282369e-01  2.9875270e+14            
8.8326504e-01  3.2465875e+14            
8.8370683e-01  3.1937636e+14            
8.8414906e-01  3.0686552e+14            
8.8459096e-01  3.2118878e+14            
8.8503329e-01  3.1665954e+14            
8.8547607e-01  3.2286911e+14            
8.8591850e-01  3.2208154e+14            
8.8636138e-01  3.1118651e+14            
8.8680470e-01  3.0512571e+14            
8.8724768e-01  3.1816248e+14            
8.8769189e-01  3.1762123e+14            
8.8813575e-01  3.1453654e+14            
8.8857927e-01  3.1853356e+14            
8.8902402e-01  3.2207364e+14            
8.8946843e-01  3.1410201e+14            
8.8991328e-01  3.2031901e+14            
8.9035778e-01  3.1848784e+14            
8.9080352e-01  3.2038597e+14            
8.9124892e-01  3.1379985e+14            
8.9169396e-01  3.1975653e+14            
8.9214024e-01  3.1129094e+14            
8.9258618e-01  3.0980565e+14            
8.9303256e-01  3.0729075e+14            
8.9347859e-01  3.1359260e+14            
8.9392586e-01  3.1972382e+14            
8.9437279e-01  3.1424678e+14            
8.9482015e-01  3.0369871e+14            
8.9526717e-01  3.1406059e+14            
8.9571463e-01  3.1647580e+14            
8.9616254e-01  3.1615704e+14            
8.9661090e-01  3.1339656e+14            
8.9705890e-01  3.0672860e+14            
8.9750735e-01  3.1407458e+14            
8.9795625e-01  3.0536582e+14            
8.9840560e-01  3.1288659e+14            
8.9885459e-01  3.1100974e+14            
8.9930403e-01  3.0868291e+14            
8.9975392e-01  3.0777647e+14            
9.0020345e-01  2.9165198e+14            
9.0065342e-01  3.1269652e+14            
9.0110385e-01  2.9408383e+14            
9.0155473e-01  2.9564849e+14            
9.0200525e-01  2.9973143e+14            
9.0245622e-01  3.0206062e+14            
9.0290763e-01  3.0702942e+14            
9.0335869e-01  3.1080680e+14            
9.0381101e-01  3.0959176e+14            
9.0426215e-01  3.1268857e+14            
9.0471456e-01  3.1148973e+14            
9.0516742e-01  3.1049612e+14            
9.0561991e-01  3.0689617e+14            
9.0607204e-01  3.0744717e+14            
9.0652544e-01  2.9793860e+14            
9.0697847e-01  3.0831222e+14            
9.0743196e-01  3.0643379e+14            
9.0788590e-01  3.0518692e+14            
9.0833946e-01  3.0058167e+14            
9.0879431e-01  3.0597153e+14            
9.0924879e-01  2.8377292e+14            
9.0970289e-01  2.9657147e+14            
9.1015828e-01  2.9698247e+14            
9.1061329e-01  2.9857000e+14            
9.1106793e-01  3.0217758e+14            
9.1152385e-01  2.9550508e+14            
9.1197940e-01  2.9904317e+14            
9.1243540e-01  3.0507440e+14            
9.1289186e-01  3.0363543e+14            
9.1334794e-01  3.0461415e+14            
9.1380531e-01  3.0413239e+14            
9.1426147e-01  2.9826988e+14            
9.1471893e-01  2.9678172e+14            
9.1517600e-01  2.9261794e+14            
9.1563353e-01  3.0129776e+14            
9.1609151e-01  2.9649806e+14            
9.1654996e-01  2.9631911e+14            
9.1700802e-01  2.9210739e+14            
9.1746654e-01  2.8515698e+14            
9.1792553e-01  2.9342486e+14            
9.1838412e-01  2.9386760e+14            
9.1884318e-01  2.9696217e+14            
9.1930269e-01  2.8999086e+14            
9.1976266e-01  2.9471490e+14            
9.2022225e-01  2.8851608e+14            
9.2068230e-01  2.9186220e+14            
9.2114281e-01  2.8179299e+14            
9.2160377e-01  2.7944595e+14            
9.2206435e-01  2.8009869e+14            
9.2252539e-01  2.8823119e+14            
9.2298690e-01  2.8365940e+14            
9.2344801e-01  2.8362151e+14            
9.2390958e-01  2.8523403e+14            
9.2437161e-01  2.8464950e+14            
9.2483411e-01  2.8307180e+14            
9.2529621e-01  2.8983398e+14            
9.2575878e-01  2.7177749e+14            
9.2622180e-01  2.8006739e+14            
9.2668529e-01  2.8525731e+14            
9.2714839e-01  2.9037872e+14            
9.2761195e-01  2.9130183e+14            
9.2807597e-01  2.8616606e+14            
9.2853959e-01  2.8974707e+14            
9.2900368e-01  2.8373374e+14            
9.2946823e-01  2.8348995e+14            
9.2993325e-01  2.8316073e+14            
9.3039787e-01  2.8881644e+14            
9.3086295e-01  2.8558511e+14            
9.3132849e-01  2.8898179e+14            
9.3179451e-01  2.8708009e+14            
9.3226012e-01  2.8563087e+14            
9.3272619e-01  2.8655799e+14            
9.3319273e-01  2.8672803e+14            
9.3365974e-01  2.8462400e+14            
9.3412634e-01  2.8953712e+14            
9.3459341e-01  2.8466760e+14            
9.3506095e-01  2.8772713e+14            
9.3552808e-01  2.8583860e+14            
9.3599568e-01  2.7938205e+14            
9.3646374e-01  2.8406506e+14            
9.3693228e-01  2.8127861e+14            
9.3740040e-01  2.8519934e+14            
9.3786899e-01  2.8571193e+14            
9.3833805e-01  2.8279420e+14            
9.3880758e-01  2.8277071e+14            
9.3927670e-01  2.8174181e+14            
9.3974629e-01  2.7585872e+14            
9.4021634e-01  2.8006717e+14            
9.4068687e-01  2.7458889e+14            
9.4115698e-01  2.7510176e+14            
9.4162757e-01  2.5021999e+14            
9.4209862e-01  2.7549396e+14            
9.4256926e-01  2.7750792e+14            
9.4304036e-01  2.7803656e+14            
9.4351194e-01  2.6890003e+14            
9.4398399e-01  2.6817031e+14            
9.4445562e-01  2.7790276e+14            
9.4492772e-01  2.7065105e+14            
9.4540030e-01  2.8039884e+14            
9.4587334e-01  2.7480672e+14            
9.4634597e-01  2.7918723e+14            
9.4681907e-01  2.7851363e+14            
9.4729264e-01  2.7885116e+14            
9.4776668e-01  2.7976716e+14            
9.4824030e-01  2.7637313e+14            
9.4871440e-01  2.7846527e+14            
9.4918897e-01  2.7940827e+14            
9.4966311e-01  2.7607874e+14            
9.5013772e-01  2.8162925e+14            
9.5061281e-01  2.6978563e+14            
9.5108838e-01  2.7571260e+14            
9.5156442e-01  2.7654278e+14            
9.5204003e-01  2.7364106e+14            
9.5251612e-01  2.8197220e+14            
9.5299177e-01  2.7049933e+14            
9.5346881e-01  2.8010225e+14            
9.5394542e-01  2.6881203e+14            
9.5442251e-01  2.7038033e+14            
9.5489916e-01  2.5810706e+14            
9.5537720e-01  2.6947911e+14            
9.5585480e-01  2.7106073e+14            
9.5633288e-01  2.7474353e+14            
9.5681053e-01  2.7536840e+14            
9.5728957e-01  2.6733259e+14            
9.5776817e-01  2.6917205e+14            
9.5824633e-01  2.7472233e+14            
9.5872589e-01  2.7268496e+14            
9.5920501e-01  2.7439077e+14            
9.5968461e-01  2.7474222e+14            
9.6016469e-01  2.6764423e+14            
9.6064432e-01  2.6643339e+14            
9.6112536e-01  2.6735898e+14            
9.6160596e-01  2.7608445e+14            
9.6208611e-01  2.7280232e+14            
9.6256767e-01  2.6987355e+14            
9.6304878e-01  2.6590830e+14            
9.6353038e-01  2.6963361e+14            
9.6401245e-01  2.6101617e+14            
9.6449408e-01  2.7338026e+14            
9.6497619e-01  2.6610381e+14            
9.6545878e-01  2.6665940e+14            
9.6594186e-01  2.6185703e+14            
9.6642448e-01  2.6665568e+14            
9.6690759e-01  2.7172508e+14            
9.6739118e-01  2.6786881e+14            
9.6787525e-01  2.6307850e+14            
9.6835887e-01  2.7060999e+14            
9.6884298e-01  2.7138402e+14            
9.6932757e-01  2.6191663e+14            
9.6981170e-01  2.6846813e+14            
9.7029726e-01  2.6799951e+14            
9.7078236e-01  2.6396467e+14            
9.7126701e-01  2.7230259e+14            
9.7175308e-01  2.6726928e+14            
9.7223870e-01  2.6775202e+14            
9.7272480e-01  2.6822137e+14            
9.7321138e-01  2.6177459e+14            
9.7369846e-01  2.6596191e+14            
9.7418507e-01  2.5886647e+14            
9.7467217e-01  2.6182720e+14            
9.7515976e-01  2.6106387e+14            
9.7564688e-01  2.6495293e+14            
9.7613449e-01  2.6598913e+14            
9.7662259e-01  2.6144245e+14            
9.7711117e-01  2.6189192e+14            
9.7759929e-01  2.6668082e+14            
9.7808885e-01  2.6646868e+14            
9.7857795e-01  2.5656284e+14            
9.7906658e-01  2.5698123e+14            
9.7955665e-01  2.6417834e+14            
9.8004626e-01  2.6556350e+14            
9.8053635e-01  2.6280945e+14            
9.8102598e-01  2.6428511e+14            
9.8151705e-01  2.6433988e+14            
9.8200766e-01  2.6553432e+14            
9.8249875e-01  2.6140021e+14            
9.8299034e-01  2.6252528e+14            
9.8348145e-01  2.5808798e+14            
9.8397305e-01  2.6214549e+14            
9.8446514e-01  2.6186725e+14            
9.8495773e-01  2.6046996e+14            
9.8544983e-01  2.6288003e+14            
9.8594243e-01  2.6403183e+14            
9.8643553e-01  2.5956224e+14            
9.8692911e-01  2.6323018e+14            
9.8742222e-01  2.6074872e+14            
9.8791581e-01  2.6577465e+14            
9.8840991e-01  2.5835813e+14            
9.8890449e-01  2.6257003e+14            
9.8939859e-01  2.5173900e+14            
9.8989319e-01  2.6248522e+14            
9.9038828e-01  2.5439699e+14            
9.9088387e-01  2.5618893e+14            
9.9137897e-01  2.5737351e+14            
9.9187456e-01  2.6149651e+14            
9.9237065e-01  2.5910313e+14            
9.9286626e-01  2.5873974e+14            
9.9336334e-01  2.5722587e+14            
9.9385993e-01  2.5923745e+14            
9.9435702e-01  2.5277827e+14            
9.9485362e-01  2.5726927e+14            
9.9535171e-01  2.5663723e+14            
9.9584930e-01  2.5567511e+14            
9.9634739e-01  2.5823204e+14            
9.9684499e-01  2.5713857e+14            
9.9734308e-01  2.5339512e+14            
9.9784266e-01  2.5649141e+14            
9.9834076e-01  2.5740329e+14            
9.9884035e-01  2.5429557e+14            
9.9933944e-01  2.5688108e+14            
9.9983903e-01  2.5431860e+14            
1.0003391e+00  2.5555144e+14            
1.0008397e+00  2.5237755e+14            
1.0013398e+00  2.5437819e+14            
1.0018404e+00  2.5826075e+14            
1.0023415e+00  2.5623759e+14            
1.0028431e+00  2.5424276e+14            
1.0033441e+00  2.5385857e+14            
1.0038457e+00  2.5130920e+14            
1.0043478e+00  2.5428706e+14            
1.0048494e+00  2.4745351e+14            
1.0053525e+00  2.3745730e+14            
1.0058551e+00  2.4703152e+14            
1.0063582e+00  2.4832956e+14            
1.0068607e+00  2.4753389e+14            
1.0073648e+00  2.5419241e+14            
1.0078684e+00  2.5115393e+14            
1.0083725e+00  2.5211892e+14            
1.0088761e+00  2.5017557e+14            
1.0093812e+00  2.5113353e+14            
1.0098858e+00  2.5156275e+14            
1.0103898e+00  2.4659663e+14            
1.0108954e+00  2.4800648e+14            
1.0114005e+00  2.5188620e+14            
1.0119071e+00  2.5062623e+14            
1.0124122e+00  2.4951985e+14            
1.0129188e+00  2.5024728e+14            
1.0134248e+00  2.5280830e+14            
1.0139324e+00  2.5064768e+14            
1.0144385e+00  2.5015147e+14            
1.0149461e+00  2.4042562e+14            
1.0154532e+00  2.4816328e+14            
1.0159618e+00  2.4649813e+14            
1.0164699e+00  2.4228413e+14            
1.0169774e+00  2.4813181e+14            
1.0174865e+00  2.4742476e+14            
1.0179951e+00  2.4914155e+14            
1.0185042e+00  2.4040721e+14            
1.0190127e+00  2.4585936e+14            
1.0195228e+00  2.4317079e+14            
1.0200324e+00  2.4318936e+14            
1.0205425e+00  2.4495273e+14            
1.0210531e+00  2.4478359e+14            
1.0215632e+00  2.4329458e+14            
1.0220737e+00  2.3583416e+14            
1.0225848e+00  2.4462878e+14            
1.0230964e+00  2.4529796e+14            
1.0236075e+00  2.4636067e+14            
1.0241201e+00  2.4224745e+14            
1.0246322e+00  2.4602405e+14            
1.0251437e+00  2.4718019e+14            
1.0256568e+00  2.4664124e+14            
1.0261694e+00  2.4431843e+14            
1.0266825e+00  2.4461044e+14            
1.0271960e+00  2.4382411e+14            
1.0277091e+00  2.4490581e+14            
1.0282237e+00  2.4584673e+14            
1.0287378e+00  2.4431386e+14            
1.0292513e+00  2.3619203e+14            
1.0297664e+00  2.4423540e+14            
1.0302810e+00  2.4206036e+14            
1.0307961e+00  2.4182662e+14            
1.0313117e+00  2.4279241e+14            
1.0318278e+00  2.4260344e+14            
1.0323433e+00  2.4297371e+14            
1.0328594e+00  2.3804525e+14            
1.0333760e+00  2.3683938e+14            
1.0338931e+00  2.4014999e+14            
1.0344096e+00  2.3324402e+14            
1.0349267e+00  2.3539068e+14            
1.0354443e+00  2.4054430e+14            
1.0359624e+00  2.3929801e+14            
1.0364799e+00  2.4017391e+14            
1.0369980e+00  2.4161358e+14            
1.0375166e+00  2.2649687e+14            
1.0380357e+00  2.3673413e+14            
1.0385542e+00  2.4163622e+14            
1.0390733e+00  2.4000836e+14            
1.0395929e+00  2.3956479e+14            
1.0401130e+00  2.3107829e+14            
1.0406336e+00  2.3820052e+14            
1.0411537e+00  2.3668545e+14            
1.0416743e+00  2.3834137e+14            
1.0421954e+00  2.3885067e+14            
1.0427159e+00  2.3013630e+14            
1.0432370e+00  2.3832022e+14            
1.0437585e+00  2.3623198e+14            
1.0442806e+00  2.3833803e+14            
1.0448033e+00  2.3852081e+14            
1.0453253e+00  2.3561085e+14            
1.0458479e+00  2.3183951e+14            
1.0463710e+00  2.3270503e+14            
1.0468946e+00  2.3505227e+14            
1.0474176e+00  2.2946363e+14            
1.0479412e+00  2.3478188e+14            
1.0484653e+00  2.3302151e+14            
1.0489899e+00  2.3415011e+14            
1.0495140e+00  2.3697197e+14            
1.0500385e+00  2.3323019e+14            
1.0505636e+00  2.3298732e+14            
1.0510892e+00  2.3123841e+14            
1.0516143e+00  2.3460794e+14            
1.0521409e+00  2.3211557e+14            
1.0526670e+00  2.3391355e+14            
1.0531925e+00  2.3292845e+14            
1.0537197e+00  2.2961620e+14            
1.0542462e+00  2.3234230e+14            
1.0547733e+00  2.3453803e+14            
1.0553009e+00  2.3308994e+14            
1.0558280e+00  2.3135598e+14            
1.0563566e+00  2.3334985e+14            
1.0568847e+00  2.3149442e+14            
1.0574133e+00  2.2836847e+14            
1.0579413e+00  2.2790162e+14            
1.0584710e+00  2.2722808e+14            
1.0590001e+00  2.0742922e+14            
1.0595297e+00  2.3080830e+14            
1.0600587e+00  2.3084569e+14            
1.0605893e+00  2.1742507e+14            
1.0611194e+00  2.3016570e+14            
1.0616500e+00  2.3010995e+14            
1.0621811e+00  2.2733762e+14            
1.0627117e+00  2.2856674e+14            
1.0632439e+00  2.2108699e+14            
1.0637755e+00  2.2953851e+14            
1.0643065e+00  2.3057517e+14            
1.0648391e+00  2.2845465e+14            
1.0653712e+00  2.2982959e+14            
1.0659038e+00  2.2914883e+14            
1.0664369e+00  2.1513276e+14            
1.0669705e+00  2.2631958e+14            
1.0675036e+00  2.2632507e+14            
1.0680372e+00  2.2673139e+14            
1.0685713e+00  2.1938651e+14            
1.0691059e+00  2.1808351e+14            
1.0696400e+00  2.1312002e+14            
1.0701757e+00  2.2312372e+14            
1.0707108e+00  2.2139650e+14            
1.0712453e+00  2.2214958e+14            
1.0717815e+00  2.2498507e+14            
1.0723171e+00  2.2163220e+14            
1.0728532e+00  2.1400299e+14            
1.0733898e+00  2.1786991e+14            
1.0739270e+00  2.2624290e+14            
1.0744635e+00  2.2292185e+14            
1.0750006e+00  2.1084661e+14            
1.0755383e+00  2.1812373e+14            
1.0760765e+00  2.2546254e+14            
1.0766140e+00  2.2474510e+14            
1.0771521e+00  2.2011223e+14            
1.0776907e+00  2.2336588e+14            
1.0782299e+00  2.2275559e+14            
1.0787684e+00  2.0575657e+14            
1.0793087e+00  2.2263103e+14            
1.0798483e+00  2.1890952e+14            
1.0803873e+00  2.1748638e+14            
1.0809280e+00  2.2064096e+14            
1.0814681e+00  1.9896200e+14            
1.0820087e+00  2.1864316e+14            
1.0825498e+00  2.2002976e+14            
1.0830915e+00  2.0047226e+14            
1.0836326e+00  2.1504594e+14            
1.0841742e+00  2.1815147e+14            
1.0847163e+00  2.1098298e+14            
1.0852590e+00  2.1952278e+14            
1.0858023e+00  2.2070269e+14            
1.0863449e+00  2.1971883e+14            
1.0868880e+00  2.1419390e+14            
1.0874317e+00  1.9456540e+14            
1.0879747e+00  2.1861085e+14            
1.0885195e+00  2.1084219e+14            
1.0890636e+00  2.1218480e+14            
1.0896083e+00  2.1444198e+14            
1.0901523e+00  2.1564790e+14            
1.0906981e+00  2.1663651e+14            
1.0912432e+00  2.1802782e+14            
1.0917889e+00  2.1170180e+14            
1.0923351e+00  2.1554598e+14            
1.0928806e+00  2.0846969e+14            
1.0934268e+00  2.1064278e+14            
1.0939734e+00  1.9749444e+14            
1.0945206e+00  2.0669317e+14            
1.0950684e+00  2.1004153e+14            
1.0956155e+00  2.0687589e+14            
1.0961631e+00  2.0679542e+14            
1.0967113e+00  1.9290098e+14            
1.0972600e+00  2.0758883e+14            
1.0978081e+00  2.0832556e+14            
1.0983580e+00  1.9350435e+14            
1.0989071e+00  2.0684710e+14            
1.0994557e+00  2.0919879e+14            
1.1000059e+00  2.0474518e+14            
1.1005556e+00  2.0845209e+14            
1.1011057e+00  2.0537442e+14            
1.1016565e+00  2.0235417e+14            
1.1022077e+00  1.9606243e+14            
1.1027583e+00  2.0772981e+14            
1.1033095e+00  2.0397907e+14            
1.1038612e+00  2.0617809e+14            
1.1044135e+00  2.0843672e+14            
1.1049663e+00  2.0135957e+14            
1.1055184e+00  2.1067474e+14            
1.1060711e+00  2.0088724e+14            
1.1066244e+00  2.0983034e+14            
1.1071769e+00  2.0615069e+14            
1.1077313e+00  2.0870559e+14            
1.1082850e+00  2.0264277e+14            
1.1088392e+00  2.0825090e+14            
1.1093928e+00  2.0356364e+14            
1.1099481e+00  2.0653133e+14            
1.1105028e+00  2.0558383e+14            
1.1110580e+00  2.0690389e+14            
1.1116138e+00  2.0643796e+14            
1.1121701e+00  2.0102079e+14            
1.1127258e+00  2.0575992e+14            
1.1132820e+00  2.0028195e+14            
1.1138388e+00  2.0586843e+14            
1.1143961e+00  2.0798000e+14            
1.1149527e+00  2.0028008e+14            
1.1155099e+00  2.0645897e+14            
1.1160677e+00  2.0067056e+14            
1.1166260e+00  2.0778645e+14            
1.1171849e+00  2.0309277e+14            
1.1177431e+00  2.0477490e+14            
1.1183018e+00  2.0549099e+14            
1.1188611e+00  1.9478582e+14            
1.1194209e+00  2.0126313e+14            
1.1199801e+00  1.9718210e+14            
1.1205398e+00  2.0198388e+14            
1.1211001e+00  2.0482605e+14            
1.1216610e+00  2.0110441e+14            
1.1222224e+00  2.0459606e+14            
1.1227831e+00  2.0571782e+14            
1.1233443e+00  1.9989778e+14            
1.1239062e+00  2.0380802e+14            
1.1244685e+00  2.0050216e+14            
1.1250302e+00  2.0357298e+14            
1.1255925e+00  1.7932722e+14            
1.1261553e+00  1.9898859e+14            
1.1267187e+00  2.0376045e+14            
1.1272813e+00  2.0452591e+14            
1.1278458e+00  1.9935507e+14            
1.1284096e+00  2.0129542e+14            
1.1289740e+00  2.0149717e+14            
1.1295376e+00  1.9490508e+14            
1.1301031e+00  1.9463850e+14            
1.1306679e+00  2.0288248e+14            
1.1312332e+00  1.9631360e+14            
1.1317991e+00  1.9927332e+14            
1.1323643e+00  2.0099539e+14            
1.1329314e+00  2.0402867e+14            
1.1334977e+00  1.8982720e+14            
1.1340646e+00  1.9929591e+14            
1.1346307e+00  2.0178601e+14            
1.1351988e+00  1.9898747e+14            
1.1357661e+00  1.9394926e+14            
1.1363339e+00  2.0025749e+14            
1.1369024e+00  2.0071931e+14            
1.1374701e+00  1.9322745e+14            
1.1380397e+00  1.9806637e+14            
1.1386085e+00  1.9249357e+14            
1.1391779e+00  1.9237013e+14            
1.1397479e+00  1.9492773e+14            
1.1403172e+00  1.9484243e+14            
1.1408870e+00  1.8764304e+14            
1.1414574e+00  1.9551769e+14            
1.1420284e+00  1.9735834e+14            
1.1425999e+00  1.9217818e+14            
1.1431707e+00  1.9682045e+14            
1.1437421e+00  1.9473919e+14            
1.1443140e+00  1.8997711e+14            
1.1448865e+00  1.9578459e+14            
1.1454583e+00  1.9689816e+14            
1.1460320e+00  1.9377685e+14            
1.1466049e+00  1.9767004e+14            
1.1471784e+00  1.9581987e+14            
1.1477512e+00  1.9476303e+14            
1.1483258e+00  1.9432864e+14            
1.1488997e+00  1.9325859e+14            
1.1494742e+00  1.9467932e+14            
1.1500492e+00  1.9705294e+14            
1.1506235e+00  1.9238941e+14            
1.1511997e+00  1.9557056e+14            
1.1517752e+00  1.9454102e+14            
1.1523512e+00  1.9192410e+14            
1.1529265e+00  1.9223278e+14            
1.1535037e+00  1.9529918e+14            
1.1540801e+00  1.9376283e+14            
1.1546571e+00  1.9564649e+14            
1.1552347e+00  1.9544424e+14            
1.1558115e+00  1.9398226e+14            
1.1563902e+00  1.9461974e+14            
1.1569682e+00  1.9339736e+14            
1.1575467e+00  1.9331264e+14            
1.1581259e+00  1.9322908e+14            
1.1587042e+00  1.9285822e+14            
1.1592832e+00  1.8755733e+14            
1.1598641e+00  1.8512776e+14            
1.1604428e+00  1.9057395e+14            
1.1610235e+00  1.8252346e+14            
1.1616034e+00  1.8196367e+14            
1.1621853e+00  1.9158105e+14            
1.1627664e+00  1.9269419e+14            
1.1633467e+00  1.8944080e+14            
1.1639289e+00  1.8546612e+14            
1.1645104e+00  1.8882250e+14            
1.1650938e+00  1.9161816e+14            
1.1656764e+00  1.8848340e+14            
1.1662583e+00  1.8907738e+14            
1.1668421e+00  1.8886960e+14            
1.1674251e+00  1.8912687e+14            
1.1680087e+00  1.9064203e+14            
1.1685929e+00  1.8919008e+14            
1.1691777e+00  1.7891354e+14            
1.1697617e+00  1.8702040e+14            
1.1703462e+00  1.8805993e+14            
1.1709314e+00  1.9016528e+14            
1.1715171e+00  1.8879093e+14            
1.1721035e+00  1.8923628e+14            
1.1726890e+00  1.8789803e+14            
1.1732751e+00  1.8930104e+14            
1.1738619e+00  1.8848965e+14            
1.1744492e+00  1.8665354e+14            
1.1750357e+00  1.8677939e+14            
1.1756241e+00  1.8041043e+14            
1.1762118e+00  1.8817524e+14            
1.1768001e+00  1.8680082e+14            
1.1773876e+00  1.8058066e+14            
1.1779770e+00  1.8668420e+14            
